Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,2269.959961,2276.959961,2265.01001,2271.310059,3524970000,2271.310059
2017-01-19,2271.899902,2274.330078,2258.409912,2263.689941,3165970000,2263.689941
2017-01-18,2269.139893,2272.01001,2263.350098,2271.889893,3315250000,2271.889893
2017-01-17,2269.139893,2272.080078,2262.810059,2267.889893,3584990000,2267.889893
2017-01-13,2272.73999,2278.679932,2271.51001,2274.639893,3081270000,2274.639893
2017-01-12,2271.139893,2271.780029,2254.25,2270.439941,3462130000,2270.439941
2017-01-11,2268.600098,2275.320068,2260.830078,2275.320068,3620410000,2275.320068
2017-01-10,2269.719971,2279.27002,2265.27002,2268.899902,3638790000,2268.899902
2017-01-09,2273.590088,2275.48999,2268.899902,2268.899902,3217610000,2268.899902
2017-01-06,2271.139893,2282.100098,2264.060059,2276.97998,3339890000,2276.97998
2017-01-05,2268.179932,2271.50,2260.449951,2269.00,3761820000,2269.00
2017-01-04,2261.600098,2272.820068,2261.600098,2270.75,3764890000,2270.75
2017-01-03,2251.570068,2263.879883,2245.129883,2257.830078,3770530000,2257.830078
2016-12-30,2251.610107,2253.580078,2233.620117,2238.830078,2670900000,2238.830078
2016-12-29,2249.50,2254.51001,2244.560059,2249.26001,2336370000,2249.26001
2016-12-28,2270.22998,2271.310059,2249.110107,2249.919922,2392360000,2249.919922
2016-12-27,2266.22998,2273.820068,2266.149902,2268.879883,1987080000,2268.879883
2016-12-23,2260.25,2263.790039,2258.840088,2263.790039,2020550000,2263.790039
